                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.77902,                0.35961,                0.94796,                0.99431,                 0.9938,                  0.995,                0.83775,                 0.7061,                0.29689,                0.91886,               0.000845,               0.000845,               0.000845
                     38,                0.74436,                0.34821,                0.93567,                0.99078,                0.99587,                0.99496,                 0.8371,                0.69638,                0.30154,                0.91884,               0.000812,               0.000812,               0.000812
                     39,                0.74416,                0.34634,                0.93495,                0.99796,                0.98967,                0.99498,                0.83022,                0.69739,                0.29332,                0.91922,               0.000779,               0.000779,               0.000779
                     40,                0.75408,                0.35373,                0.92991,                0.98739,                0.99587,                0.99483,                0.82779,                0.70818,                 0.3028,                0.92057,               0.000746,               0.000746,               0.000746
                     41,                0.74432,                0.34429,                 0.9281,                0.99791,                0.98739,                0.99488,                0.83676,                0.70491,                0.29229,                0.91892,               0.000713,               0.000713,               0.000713
                     42,                0.73137,                0.33454,                0.93422,                0.99839,                0.99587,                  0.995,                0.83643,                0.69492,                0.28692,                0.91739,                0.00068,                0.00068,                0.00068
                     43,                 0.7331,                0.33457,                0.93181,                0.99793,                0.99404,                  0.995,                0.83797,                 0.6895,                0.29244,                0.91711,               0.000647,               0.000647,               0.000647
                     44,                0.73142,                 0.3329,                0.92786,                0.99934,                 0.9876,                0.99488,                 0.8356,                0.68903,                0.28996,                0.91227,               0.000614,               0.000614,               0.000614
                     45,                0.71801,                0.32968,                0.93154,                0.99586,                0.99284,                  0.995,                0.82624,                 0.7076,                0.28778,                0.92334,               0.000581,               0.000581,               0.000581
                     46,                0.71243,                0.32691,                0.93077,                0.99587,                0.99706,                  0.995,                0.83387,                0.71922,                0.28367,                0.92597,               0.000548,               0.000548,               0.000548
                     47,                0.71053,                0.32819,                0.92726,                0.99714,                0.99793,                  0.995,                0.83129,                0.70238,                0.27994,                0.92238,               0.000515,               0.000515,               0.000515
                     48,                0.70236,                0.32172,                 0.9229,                0.98973,                 0.9951,                0.99494,                0.83745,                0.70917,                0.28262,                0.91944,               0.000482,               0.000482,               0.000482
                     49,                0.70271,                0.32223,                0.92233,                0.99906,                 0.9938,                  0.995,                0.83697,                0.70041,                0.27878,                0.91916,               0.000449,               0.000449,               0.000449
                     50,                0.70273,                0.31783,                0.91682,                0.99612,                0.99587,                0.99498,                0.83834,                0.69088,                0.27263,                0.91466,               0.000416,               0.000416,               0.000416
                     51,                0.69187,                0.30394,                0.92637,                0.99031,                0.98967,                0.99484,                0.83911,                0.68959,                0.28314,                0.91547,               0.000383,               0.000383,               0.000383
                     52,                0.67981,                0.29436,                0.91349,                0.99173,                0.99144,                 0.9949,                0.83828,                0.68192,                 0.2787,                 0.9127,                0.00035,                0.00035,                0.00035
                     53,                0.66723,                0.29161,                 0.9165,                0.99631,                0.99174,                0.99498,                 0.8479,                 0.6797,                0.27316,                0.91506,               0.000317,               0.000317,               0.000317
                     54,                0.66536,                0.29188,                0.90627,                0.99585,                 0.9922,                0.99498,                 0.8422,                 0.6878,                0.27158,                0.91451,               0.000284,               0.000284,               0.000284
                     55,                0.63908,                0.28093,                 0.9008,                0.99585,                0.99244,                0.99498,                 0.8419,                0.68398,                0.26863,                0.91289,               0.000251,               0.000251,               0.000251
                     56,                0.64036,                0.28491,                0.90078,                0.99089,                0.99793,                0.99496,                  0.839,                0.69114,                0.27149,                0.91441,               0.000218,               0.000218,               0.000218
                     57,                0.62915,                0.27471,                0.89427,                0.99587,                0.99587,                  0.995,                0.84042,                0.69051,                0.26751,                 0.9176,               0.000185,               0.000185,               0.000185
                     58,                 0.6227,                0.27593,                0.89193,                 0.9973,                0.99793,                0.99498,                 0.8395,                0.69619,                0.26649,                0.91658,               0.000152,               0.000152,               0.000152
                     59,                0.62812,                0.27346,                0.89598,                0.99709,                0.99587,                0.99498,                0.83939,                0.69594,                0.26461,                0.91667,               0.000119,               0.000119,               0.000119
                     60,                0.61477,                0.26615,                0.89129,                 0.9921,                0.99587,                0.99498,                0.84274,                0.68744,                0.26098,                0.91486,                8.6e-05,                8.6e-05,                8.6e-05
